bin,time_start,time_end,density_veh_per_mile,flow_vph,speed_mph,N_mainline,density_bin,scenario
10,600.0,659.9,20.203874744124033,943.1077153547628,46.65088090058434,47.836666666666666,20.0,Light
11,660.0,719.9,20.896530752354053,994.3741636256656,47.566262712479215,49.47666666666667,20.0,Light
12,720.0,779.9,19.538671565488492,911.1718234997803,46.62962185462663,46.26166666666666,20.0,Light
13,780.0,839.9,20.17642191452955,935.9184734115189,46.34598101332092,47.77166666666667,20.0,Light
14,840.0,899.9,20.797982133296937,986.2506923240775,47.38336755599926,49.24333333333333,20.0,Light
15,900.0,959.9,19.752662852583946,908.2298640732735,45.9674853971779,46.76833333333333,20.0,Light
16,960.0,1019.9,20.47417952782355,961.129990939231,46.89062451538271,48.47666666666667,20.0,Light
17,1020.0,1079.9,20.870485760174674,961.4756722550833,46.06001635166904,49.415,20.0,Light
18,1080.0,1139.9,19.933569960424514,911.704890531398,45.743296426386365,47.196666666666665,20.0,Light
19,1140.0,1199.9,20.15108084105772,909.3342336242986,45.078137750108816,47.711666666666666,20.0,Light
20,1200.0,1259.9,21.258344968035182,987.9831030451893,46.45831239056193,50.333333333333336,20.0,Light
21,1260.0,1319.9,20.664941497569828,947.6095771138746,45.86691649991253,48.928333333333335,20.0,Light
22,1320.0,1379.9,20.408715088021328,955.4577117711143,46.795033184381246,48.321666666666665,20.0,Light
23,1380.0,1439.9,20.78531159656102,979.7434669867288,47.12776936917299,49.21333333333333,20.0,Light
24,1440.0,1499.9,19.60061641175297,890.1180505321431,45.40880511093574,46.40833333333333,20.0,Light
25,1500.0,1559.9,20.80290956424979,962.5345520688229,46.180117442929664,49.255,20.0,Light
26,1560.0,1619.9,20.954252086373224,972.1838702031366,46.348820569160885,49.61333333333334,20.0,Light
27,1620.0,1679.9,20.308054712841557,940.4151633554353,46.302807664313534,48.083333333333336,20.0,Light
28,1680.0,1739.9,20.64734352988106,958.433313611332,46.40982136767657,48.88666666666666,20.0,Light
29,1740.0,1799.9,20.93665411868445,980.9958978725384,46.859781553306554,49.571666666666665,20.0,Light
30,1800.0,1859.9,19.296523530091008,886.5095016111517,45.96576394440831,45.68833333333333,20.0,Light
31,1860.0,1919.9,20.19261204480322,931.4475623539856,46.107355280991484,47.81,20.0,Light
32,1920.0,1979.9,21.256233211912527,999.2177165448068,47.00300937536631,50.32833333333333,20.0,Light
33,1980.0,2039.9,20.028598985943876,924.6301277329998,46.17409277309891,47.42166666666667,20.0,Light
34,2040.0,2099.9,21.44981085648901,991.9298019371038,46.21042727521782,50.78666666666667,20.0,Light
35,2100.0,2159.9,20.586102602324136,949.7131644060815,46.12403272337679,48.74166666666667,20.0,Light
