scenario,folder,n_arrived,mean_travel_time_s,p95_travel_time_s,mean_timeLoss_s,p95_timeLoss_s,mean_routeLength_m,mean_speed_mps,mean_speed_mph,sum_CO2,sum_CO,sum_HC,sum_NOx,sum_PMx,sum_fuel,sum_electricity,sum_noise,sum_waiting,emission_rows,main_in_0_flow_vehph,main_in_0_speed_mps,main_in_0_occ,main_in_0_count_veh,main_in_0_nint,main_in_1_flow_vehph,main_in_1_speed_mps,main_in_1_occ,main_in_1_count_veh,main_in_1_nint,main_in_2_flow_vehph,main_in_2_speed_mps,main_in_2_occ,main_in_2_count_veh,main_in_2_nint,final_out_0_flow_vehph,final_out_0_speed_mps,final_out_0_occ,final_out_0_count_veh,final_out_0_nint,final_out_1_flow_vehph,final_out_1_speed_mps,final_out_1_occ,final_out_1_count_veh,final_out_1_nint,final_out_2_flow_vehph,final_out_2_speed_mps,final_out_2_occ,final_out_2_count_veh,final_out_2_nint,off_out_0_flow_vehph,off_out_0_speed_mps,off_out_0_occ,off_out_0_count_veh,off_out_0_nint,on_ramp_flow_vehph,on_ramp_speed_mps,on_ramp_occ,on_ramp_count_veh,on_ramp_nint,main_in_total_vehph,final_out_total_vehph,on_ramp_vehph,off_out_vehph,flow_conservation_gap_vehph
Light,Light/Output-Default-Priority,1351,205.5501850481125,239.85,51.97637305699482,78.65,3754.2116210214645,18.435581796756523,41.239221948428074,9773994793.850212,95590201.61000143,657215.8199996684,3682370.7499966384,1667156.0299949083,3168612645.7847934,0.0,205231833.759663,1110794.6999999846,3030814,409.9075785582255,5.8784842883548984,9.683271719038816,616.0,541,409.9075785582255,5.817689463955637,9.790813308687616,616.0,541,0.0,-1.0,0.0,,541,309.42698706099816,10.756173752310536,2.0003142329020336,465.0,541,447.17190388170053,14.002125693160812,2.6887615526802215,672.0,541,105.13863216266174,4.854121996303142,0.6008133086876155,158.0,541,,,,,0,80.51756007393715,0.5379667282809611,1.9032532347504618,121.0,541,819.815157116451,861.7375231053604,80.51756007393715,,
Medium,Medium/Output-Default-Priority,2096,234.38826335877866,269.325,81.23794370229008,112.2375,3742.4992366412207,16.0842376363242,35.97941486567743,15703774326.759586,137469925.69004843,942943.0999976328,5868750.570033777,2502156.1599891917,5090978285.033183,0.0,354182420.02930945,5631685.099999917,5345769,537.6709796672828,4.768243992606284,16.282181146025877,929.0,541,680.7393715341959,6.098927911275416,17.396451016635858,1072.0,541,61.21996303142329,0.646728280961183,1.2270055452865063,92.0,541,531.0166358595194,13.898133086876156,3.8178373382624766,798.0,541,706.6913123844732,17.61170055452865,4.47931608133087,1062.0,541,79.85212569316081,3.9545841035120146,0.4573197781885397,120.0,541,,,,,0,119.77818853974122,1.287966728280961,2.830776340110906,180.0,541,1279.630314232902,1317.5600739371534,119.77818853974122,,
Heavy,Heavy/Output-Default-Priority,2488,259.89409163987136,330.265,109.81192122186495,176.512,3666.6553657556265,14.36877510067543,32.14203446554927,19271652907.451523,157928357.01004192,1081977.6999992863,7192612.7401018245,2859337.559992664,6247644107.152629,0.0,455309112.04834586,14220789.899998112,6996302,676.0813308687616,5.448558225508318,17.593752310536043,1089.0,541,722.6617375231053,6.263715341959335,18.391774491682067,1157.0,541,65.21256931608133,1.011977818853974,1.109482439926063,98.0,541,605.5452865064696,15.441349353049908,4.339667282809613,910.0,541,794.52865064695,18.798687615526802,5.072698706099815,1194.0,541,111.79297597042513,5.6122920517560075,0.637818853974122,168.0,541,,,,,0,199.63031423290204,2.812772643253235,4.727966728280961,301.0,541,1463.9556377079482,1511.8669131238448,199.63031423290204,,
