edge,bin,time_start,time_end,density,flow,v_ms,nVeh,scenario
99457861,29,1740.0,1799.9,0.005975011956001913,0.10984059660449547,18.393183611111112,3.3316666666666666,Heavy
99457861,30,1800.0,1859.9,0.005299497847919656,0.0988389825442372,18.741988055555556,2.955,Heavy
99457861,31,1860.0,1919.9,0.005233739837398374,0.09677728957436632,18.584870000000002,2.9183333333333334,Heavy
99457861,32,1920.0,1979.9,0.005655188904830225,0.10096015662362505,17.832494444444443,3.1533333333333333,Heavy
99457861,33,1980.0,2039.9,0.005595408895265423,0.1005772656623625,17.978371944444444,3.12,Heavy
99457861,34,2040.0,2099.9,0.005541606886657101,0.09944329866092778,17.966106111111113,3.09,Heavy
99457861,35,2100.0,2159.9,0.00589729794356767,0.10694335844093733,18.14566,3.2883333333333336,Heavy
99457861,36,2160.0,2219.9,0.005499760879961741,0.10243609516977523,18.613481944444445,3.066666666666667,Heavy
99457861,37,2220.0,2279.9,0.00548481587757054,0.09893421209947394,18.038853888888887,3.058333333333333,Heavy
99457861,38,2280.0,2339.9,0.005562529890004783,0.10139200741272118,18.293332222222222,3.1016666666666666,Heavy
99457861,39,2340.0,2399.9,0.005610353897656624,0.10212864658058345,18.20299888888889,3.1283333333333334,Heavy
99457861,40,2400.0,2459.9,0.0053622668579626975,0.09716699545671927,18.18636027777778,2.99,Heavy
99457861,41,2460.0,2519.9,0.0059361549497847915,0.10753807986609276,18.077226944444444,3.31,Heavy
99457861,42,2520.0,2579.9,0.005317431850789096,0.09929934839789574,18.708571666666668,2.965,Heavy
99457861,43,2580.0,2639.9,0.0049527737924438065,0.09173571257771401,18.591495555555554,2.7616666666666667,Heavy
99457861,44,2640.0,2699.9,0.005592419894787183,0.10384017814442849,18.614408333333333,3.118333333333333,Heavy
99457861,45,2700.0,2759.9,0.005762792922046867,0.10824225848876134,18.837253055555557,3.2133333333333334,Heavy
99457861,46,2760.0,2819.9,0.005407101865136299,0.09778879722620755,18.088314722222222,3.015,Heavy
99457861,47,2820.0,2879.9,0.005425035868005738,0.09841260162601626,18.139754999999997,3.025,Heavy
99457861,48,2880.0,2939.9,0.005553562888570062,0.1019315518890483,18.329195277777778,3.0966666666666667,Heavy
99457861,49,2940.0,2999.9,0.005723935915829746,0.10627737924438067,18.615408611111114,3.191666666666667,Heavy
99457861,50,3000.0,3059.9,0.005332376853180296,0.098447662601626,18.529776944444446,2.973333333333333,Heavy
99457861,51,3060.0,3119.9,0.0052068388330942135,0.09586420970827354,18.39498916666667,2.9033333333333333,Heavy
99457861,52,3120.0,3179.9,0.005846484935437589,0.10382541248206599,17.76128027777778,3.26,Heavy
99457861,53,3180.0,3239.9,0.00546389287422286,0.10156799976087996,18.609891944444442,3.046666666666667,Heavy
99457861,54,3240.0,3299.9,0.005383189861310378,0.09925618723098996,18.5303225,3.0016666666666665,Heavy
99457861,55,3300.0,3359.9,0.00549378287900526,0.1026924019607843,18.728614444444442,3.0633333333333335,Heavy
99457861,56,3360.0,3419.9,0.0053204208512673355,0.09919048900047824,18.632124722222223,2.966666666666667,Heavy
