bin,time_start,time_end,density_veh_per_mi,flow_vph,speed_mph,N_mainline
10,600.0,659.9,44.98533284345114,1899.4232142247354,42.223496602693814,106.51166666666667
11,660.0,719.9,43.970985985870385,1909.7658193701793,43.437871363523286,104.11
12,720.0,779.9,43.88088439130388,1888.2543977960281,43.03705438612147,103.89666666666666
13,780.0,839.9,46.63461437524275,1980.4525189905207,42.46885132317569,110.41666666666667
14,840.0,899.9,45.86945474013499,1985.3370830667152,43.30154759561586,108.605
15,900.0,959.9,46.07640684015493,1990.5437438282033,43.214070807760734,109.095
16,960.0,1019.9,48.012887204627276,2034.1155133324742,42.3643749002637,113.68
17,1020.0,1079.9,46.78877257219638,2009.554491057663,42.969548558974466,110.78166666666667
18,1080.0,1139.9,47.30122539129338,2034.6636697883637,43.04052198570275,111.995
19,1140.0,1199.9,48.67738646455526,2044.4592305946687,42.002342621826195,115.25333333333333
20,1200.0,1259.9,48.65908457815894,2088.7934234284894,42.95953424013347,115.21
21,1260.0,1319.9,49.18772752752962,2087.179658837015,42.47543019612092,116.46166666666667
22,1320.0,1379.9,49.12296700643494,2069.2130859045055,42.12023377678867,116.30833333333334
23,1380.0,1439.9,48.53026745467714,2109.5251018999143,43.484515527582246,114.905
24,1440.0,1499.9,49.0919945833027,2065.1073256170903,42.09002948181912,116.235
25,1500.0,1559.9,51.11716870492645,2132.030814462549,41.70808523202979,121.03
26,1560.0,1619.9,49.79098585990069,2115.106295167217,42.520269128935624,117.89
27,1620.0,1679.9,52.05619626079927,1992.4894946509162,38.27276900865181,123.25333333333333
28,1680.0,1739.9,52.34621076831021,2160.6791597383512,41.272713402888556,123.94
29,1740.0,1799.9,50.78914258720776,2159.88671278641,42.55082235461168,120.25333333333333
30,1800.0,1859.9,52.10406273291272,2157.3166762333003,41.41884832623556,123.36666666666666
31,1860.0,1919.9,51.98932398358193,2178.457193139293,41.893275166253716,123.095
32,1920.0,1979.9,51.322009048823745,2164.48115385834,42.196034021472784,121.515
33,1980.0,2039.9,50.95385956477466,2106.8166407613453,41.37278091592513,120.64333333333333
34,2040.0,2099.9,52.18642122169617,2112.614461963764,40.484311135453915,123.56166666666667
35,2100.0,2159.9,51.83305403050565,2175.9483319159517,41.98594290731545,122.725
36,2160.0,2219.9,51.36142849644659,2158.8115626029016,42.076260842580886,121.60833333333333
37,2220.0,2279.9,52.96425139353984,2090.8857958577332,39.520185319594816,125.40333333333334
38,2280.0,2339.9,53.24370712043752,2218.6106812962403,41.67716009613477,126.065
39,2340.0,2399.9,51.30511499984252,2048.0747806920376,39.9462459725977,121.475
40,2400.0,2459.9,51.590905995108166,2112.375875620279,40.952552181319355,122.15166666666667
41,2460.0,2519.9,49.33343869999264,2058.9869719515486,41.7432127096231,116.80666666666667
42,2520.0,2579.9,51.491653457343496,2097.1889488537595,40.77106858240568,121.91666666666667
43,2580.0,2639.9,49.474926360210354,2080.6728938762453,42.048621608615385,117.14166666666667
44,2640.0,2699.9,47.96572465122137,2032.971319499649,42.40343692906087,113.56833333333333
45,2700.0,2759.9,49.074396615613935,2024.9975331350743,41.28930995348406,116.19333333333333
46,2760.0,2819.9,49.87545610480678,2091.0445135818513,41.92772192116021,118.09
47,2820.0,2879.9,48.71328631864036,2073.46239730019,42.5885917313204,115.33833333333334
48,2880.0,2939.9,49.76705262384395,2026.1174946577478,40.72680118990596,117.83333333333333
49,2940.0,2999.9,48.42608748595961,2025.743978188809,41.82209897345625,114.65833333333333
50,3000.0,3059.9,48.528155698554485,2002.4491149142696,41.260161997148,114.9
51,3060.0,3119.9,48.19801782471315,2028.5887200630534,42.13385753501596,114.11833333333334
52,3120.0,3179.9,49.74593506261743,2023.4756400098101,40.667874364955324,117.78333333333333
53,3180.0,3239.9,47.74750985188061,2012.4036923282965,42.144816632732315,113.05166666666666
54,3240.0,3299.9,47.395550498105194,2030.5540667610383,42.87454450112291,112.21833333333333
55,3300.0,3359.9,47.928416959721176,2032.2294792552098,42.40326155581317,113.48
56,3360.0,3419.9,46.87042714227228,1997.3580001806215,42.6339637467395,110.975
57,3420.0,3479.9,47.19845325999096,1936.9475177900272,41.05421470715406,111.75166666666667
58,3480.0,3539.9,48.652749309790984,2102.0674355744413,43.19096798871758,115.195
59,3540.0,3599.9,47.89110926822098,2060.3122602161798,43.019256678103346,113.39166666666667
60,3600.0,3659.9,45.48933863805754,1953.3107470524944,42.98093767656484,107.705
61,3660.0,3719.9,46.600122358572754,1994.8171344056625,42.80419962712515,110.335
62,3720.0,3779.9,47.0689322178016,2025.3366884040224,43.04234525534136,111.445
63,3780.0,3839.9,48.04526746517461,1992.8371831150275,41.51654350129862,113.75666666666666
64,3840.0,3899.9,47.717241347455925,2028.2145902520806,42.50468534967806,112.98
65,3900.0,3959.9,46.73597866913006,2031.9790062021123,43.50846997439077,110.65666666666667
66,3960.0,4019.9,47.63840245221023,1987.3910129717842,41.75253174056876,112.79333333333334
67,4020.0,4079.9,48.78438210810299,2068.524899836417,42.39908254281522,115.50666666666666
68,4080.0,4139.9,46.80566662117759,1993.6771753738835,42.60228648642267,110.82166666666667
69,4140.0,4199.9,46.73316299429986,1988.9872587193684,42.588639246980804,110.65
70,4200.0,4259.9,47.09568112868854,1997.6390188701223,42.41448694729436,111.50833333333334
71,4260.0,4319.9,45.85256069115376,2006.6614531366233,43.78128402852856,108.565
72,4320.0,4379.9,45.982785652050666,1949.9847590079105,42.414262878746996,108.87333333333333
73,4380.0,4439.9,48.06216151415583,1991.0322443953992,41.42402240172512,113.79666666666667
74,4440.0,4499.9,46.347415542562,1969.7322789057869,42.49651743503093,109.73666666666666
75,4500.0,4559.9,47.46875804369048,2007.6082688367665,42.29358714501059,112.39166666666667
76,4560.0,4619.9,48.568982983592434,1964.3501387634733,40.439565142328135,114.99666666666667
77,4620.0,4679.9,48.17478850736397,1983.3259796945654,41.16408335445969,114.06333333333333
78,4680.0,4739.9,47.50113830423782,2014.4992664577192,42.45272643956717,112.46833333333333
79,4740.0,4799.9,47.606022191662895,2022.8386960870373,42.491632363295636,112.71666666666667
80,4800.0,4859.9,45.716704380596454,1997.0726799991455,43.698990908294924,108.24333333333334
81,4860.0,4919.9,45.301392343141465,1968.2320889693312,43.48577448435254,107.26
82,4920.0,4979.9,46.113010612947576,1947.6508047259424,42.24074232166953,109.18166666666667
83,4980.0,5039.9,44.962103526101956,1925.3191838750995,42.818348851258115,106.45666666666666
84,5040.0,5099.9,45.384454750632464,1972.710482663011,43.46622864817106,107.45666666666666
85,5100.0,5159.9,45.17961440673517,1920.3724487841812,42.49281254453206,106.97166666666666
86,5160.0,5219.9,45.01137783563052,1944.0810619068782,43.19880874503726,106.57333333333334
87,5220.0,5279.9,44.85651571996934,1931.7450019078942,43.09557746522024,106.20666666666666
88,5280.0,5339.9,45.47807593873672,1939.1838387636262,42.6292967922765,107.67833333333333
89,5340.0,5399.9,43.92100775763428,1909.8217689019934,43.47445174578535,103.99166666666666
90,5400.0,5459.9,43.83653751272818,1912.6507950633559,43.63976281230219,103.79166666666667
91,5460.0,5519.9,45.44710351560448,1949.355024943879,42.882339884075854,107.605
92,5520.0,5579.9,45.07050700706479,1972.6165861625705,43.76794417708991,106.71333333333334
93,5580.0,5639.9,44.487662317212695,1929.1244042962003,43.371135335780934,105.33333333333333
94,5640.0,5699.9,45.924360399323945,1969.7777259268464,42.88720106701099,108.735
95,5700.0,5759.9,45.674469258143404,1974.3647665187736,43.23520004993425,108.14333333333333
96,5760.0,5819.9,46.06373630341901,1925.4374392757545,41.801522780029366,109.065
97,5820.0,5879.9,47.97698735054219,2043.9556495987601,42.603475075923846,113.595
98,5880.0,5939.9,45.95885241599394,1983.0626151485787,43.153157056187474,108.81666666666666
99,5940.0,5999.9,45.81243732482337,1921.9251448305556,41.956861656151744,108.47
