bin,time_start,time_end,density_veh_per_mi,flow_vph,speed_mph,N_mainline
10,600.0,659.9,20.203874744124033,943.1077153547628,46.65088090058434,47.836666666666666
11,660.0,719.9,20.896530752354053,994.3741636256656,47.566262712479215,49.47666666666667
12,720.0,779.9,19.538671565488492,911.1718234997803,46.62962185462663,46.26166666666666
13,780.0,839.9,20.17642191452955,935.9184734115189,46.34598101332092,47.77166666666667
14,840.0,899.9,20.797982133296937,986.2506923240775,47.38336755599926,49.24333333333333
15,900.0,959.9,19.752662852583946,908.2298640732735,45.9674853971779,46.76833333333333
16,960.0,1019.9,20.47417952782355,961.129990939231,46.89062451538271,48.47666666666667
17,1020.0,1079.9,20.870485760174674,961.4756722550833,46.06001635166904,49.415
18,1080.0,1139.9,19.933569960424514,911.704890531398,45.743296426386365,47.196666666666665
19,1140.0,1199.9,20.15108084105772,909.3342336242986,45.078137750108816,47.711666666666666
20,1200.0,1259.9,21.258344968035182,987.9831030451893,46.45831239056193,50.333333333333336
21,1260.0,1319.9,20.664941497569828,947.6095771138746,45.86691649991253,48.928333333333335
22,1320.0,1379.9,20.408715088021328,955.4577117711143,46.795033184381246,48.321666666666665
23,1380.0,1439.9,20.78531159656102,979.7434669867288,47.12776936917299,49.21333333333333
24,1440.0,1499.9,19.60061641175297,890.1180505321431,45.40880511093574,46.40833333333333
25,1500.0,1559.9,20.80290956424979,962.5345520688229,46.180117442929664,49.255
26,1560.0,1619.9,20.954252086373224,972.1838702031366,46.348820569160885,49.61333333333334
27,1620.0,1679.9,20.308054712841557,940.4151633554353,46.302807664313534,48.083333333333336
28,1680.0,1739.9,20.64734352988106,958.433313611332,46.40982136767657,48.88666666666666
29,1740.0,1799.9,20.93665411868445,980.9958978725384,46.859781553306554,49.571666666666665
30,1800.0,1859.9,19.296523530091008,886.5095016111517,45.96576394440831,45.68833333333333
31,1860.0,1919.9,20.19261204480322,931.4475623539856,46.107355280991484,47.81
32,1920.0,1979.9,21.256233211912527,999.2177165448068,47.00300937536631,50.32833333333333
33,1980.0,2039.9,20.028598985943876,924.6301277329998,46.17409277309891,47.42166666666667
34,2040.0,2099.9,21.44981085648901,991.9298019371038,46.21042727521782,50.78666666666667
35,2100.0,2159.9,20.586102602324136,949.7131644060815,46.12403272337679,48.74166666666667
36,2160.0,2219.9,19.94905617199063,882.7906873353089,44.24698810231205,47.233333333333334
37,2220.0,2279.9,20.298199850935845,950.5464511619161,46.76016001107517,48.06
38,2280.0,2339.9,20.958475598618527,970.2740874089611,46.28429027049959,49.623333333333335
39,2340.0,2399.9,20.098990856698958,925.1075912186986,46.0230902517487,47.58833333333333
40,2400.0,2459.9,20.51571073156905,969.4297400719364,47.19396997608107,48.575
41,2460.0,2519.9,20.66705325369248,974.3349644296703,47.09965540106572,48.93333333333333
42,2520.0,2579.9,19.530224540997885,917.5842137901902,46.985644962647875,46.24166666666667
43,2580.0,2639.9,19.654818152234384,939.3122003211092,47.739150891385215,46.53666666666667
44,2640.0,2699.9,20.272858777464013,953.7635538239546,47.03800148520135,48.0
45,2700.0,2759.9,19.353540945402624,908.2709522751148,46.93803768652477,45.82333333333333
