bin,time_start,time_end,density_veh_per_mi,speed_mph,N_mainline,entered_downstream,flow_vph,density_bin,scenario
10,600.0,659.9,20.203874744124033,43.365979284935825,47.836666666666666,22,1320.0,20.0,Light
11,660.0,719.9,20.896530752354053,42.72107072262989,49.47666666666667,21,1260.0,20.0,Light
12,720.0,779.9,19.538671565488492,40.30644786877005,46.26166666666666,8,480.0,20.0,Light
13,780.0,839.9,20.17642191452955,42.66404553274033,47.77166666666667,14,840.0,20.0,Light
14,840.0,899.9,20.797982133296937,42.717798561683324,49.24333333333333,21,1260.0,20.0,Light
15,900.0,959.9,19.752662852583946,39.743588671079735,46.76833333333333,9,540.0,20.0,Light
16,960.0,1019.9,20.47417952782355,43.15893535547846,48.47666666666667,13,780.0,20.0,Light
17,1020.0,1079.9,20.870485760174674,41.29063644052951,49.415,20,1200.0,20.0,Light
18,1080.0,1139.9,19.933569960424514,40.55057404305615,47.196666666666665,11,660.0,20.0,Light
19,1140.0,1199.9,20.15108084105772,41.60263725917517,47.711666666666666,12,720.0,20.0,Light
20,1200.0,1259.9,21.258344968035182,41.03554576703322,50.333333333333336,19,1140.0,20.0,Light
21,1260.0,1319.9,20.664941497569828,40.35719968806206,48.928333333333335,11,660.0,20.0,Light
22,1320.0,1379.9,20.408715088021328,43.52377166484528,48.321666666666665,13,780.0,20.0,Light
23,1380.0,1439.9,20.78531159656102,42.2650891280273,49.21333333333333,20,1200.0,20.0,Light
24,1440.0,1499.9,19.60061641175297,38.8519481723054,46.40833333333333,7,420.0,20.0,Light
25,1500.0,1559.9,20.80290956424979,42.42155866732966,49.255,16,960.0,20.0,Light
26,1560.0,1619.9,20.954252086373224,41.37012274245019,49.61333333333334,20,1200.0,20.0,Light
27,1620.0,1679.9,20.308054712841557,39.91106102775487,48.083333333333336,9,540.0,20.0,Light
28,1680.0,1739.9,20.64734352988106,43.80214373554812,48.88666666666666,14,840.0,20.0,Light
29,1740.0,1799.9,20.93665411868445,42.5620365973786,49.571666666666665,21,1260.0,20.0,Light
30,1800.0,1859.9,19.296523530091008,39.32364965974984,45.68833333333333,9,540.0,20.0,Light
31,1860.0,1919.9,20.19261204480322,42.799552504037095,47.81,12,720.0,20.0,Light
32,1920.0,1979.9,21.256233211912527,41.623626965897344,50.32833333333333,21,1260.0,20.0,Light
33,1980.0,2039.9,20.028598985943876,39.86641309672821,47.42166666666667,5,300.0,20.0,Light
34,2040.0,2099.9,21.44981085648901,43.17225089442516,50.78666666666667,19,1140.0,20.0,Light
35,2100.0,2159.9,20.586102602324136,41.30813948162086,48.74166666666667,19,1140.0,20.0,Light
36,2160.0,2219.9,19.94905617199063,39.529359023905315,47.233333333333334,9,540.0,20.0,Light
37,2220.0,2279.9,20.298199850935845,42.79130475006022,48.06,14,840.0,20.0,Light
38,2280.0,2339.9,20.958475598618527,41.35204328332521,49.623333333333335,20,1200.0,20.0,Light
39,2340.0,2399.9,20.098990856698958,41.26136324546507,47.58833333333333,9,540.0,20.0,Light
40,2400.0,2459.9,20.51571073156905,43.49953378403728,48.575,15,900.0,20.0,Light
41,2460.0,2519.9,20.66705325369248,42.26295587488009,48.93333333333333,19,1140.0,20.0,Light
42,2520.0,2579.9,19.530224540997885,41.72859185723091,46.24166666666667,12,720.0,20.0,Light
43,2580.0,2639.9,19.654818152234384,44.214274494591194,46.53666666666667,12,720.0,20.0,Light
44,2640.0,2699.9,20.272858777464013,42.600785881789406,48.0,20,1200.0,20.0,Light
45,2700.0,2759.9,19.353540945402624,40.4559350861987,45.82333333333333,9,540.0,20.0,Light
46,2760.0,2819.9,20.14967300364262,43.26972711044374,47.708333333333336,13,780.0,20.0,Light
47,2820.0,2879.9,21.121080820062772,41.84721806302307,50.00833333333333,21,1260.0,20.0,Light
48,2880.0,2939.9,19.58372236277175,40.033268929924816,46.36833333333333,10,600.0,20.0,Light
49,2940.0,2999.9,20.232735411133618,43.540846606853485,47.905,12,720.0,20.0,Light
50,3000.0,3059.9,21.046465437062384,41.836908100226,49.83166666666666,21,1260.0,20.0,Light
51,3060.0,3119.9,20.06872235227427,39.973946968205844,47.516666666666666,10,600.0,20.0,Light
52,3120.0,3179.9,20.079281132887537,42.89109544632006,47.541666666666664,12,720.0,20.0,Light
53,3180.0,3239.9,20.80009388941959,42.70704604393717,49.248333333333335,21,1260.0,20.0,Light
54,3240.0,3299.9,19.722394348159263,40.666919175975636,46.696666666666665,7,420.0,20.0,Light
55,3300.0,3359.9,20.63185731831494,41.65386138150981,48.85,16,960.0,20.0,Light
56,3360.0,3419.9,20.588214358446788,40.257360593255335,48.74666666666667,18,1080.0,20.0,Light
57,3420.0,3479.9,20.317909574747265,38.41844099368798,48.10666666666667,10,600.0,20.0,Light
58,3480.0,3539.9,21.043649762232178,41.27150845586905,49.825,12,720.0,20.0,Light
59,3540.0,3599.9,21.632125801744674,39.95178237769213,51.218333333333334,20,1200.0,20.0,Light
60,3600.0,3659.9,21.210478495921723,38.667770698331026,50.22,8,480.0,20.0,Light
61,3660.0,3719.9,21.733490095631996,42.72226224288019,51.458333333333336,17,1020.0,20.0,Light
62,3720.0,3779.9,20.811356588740402,41.43881157718268,49.275,20,1200.0,20.0,Light
63,3780.0,3839.9,20.141225979152008,39.54830264368072,47.68833333333333,7,420.0,20.0,Light
64,3840.0,3899.9,20.94439722446751,42.115147932950116,49.59,16,960.0,20.0,Light
65,3900.0,3959.9,21.041538006109526,40.04324245657659,49.82,19,1140.0,20.0,Light
66,3960.0,4019.9,20.31368606250196,39.353736490070396,48.096666666666664,8,480.0,20.0,Light
67,4020.0,4079.9,21.56806919935755,41.896901694316306,51.06666666666667,15,900.0,20.0,Light
68,4080.0,4139.9,21.405463977913303,42.32777466672792,50.681666666666665,22,1320.0,20.0,Light
69,4140.0,4199.9,19.844876203273106,38.71875340674655,46.986666666666665,6,360.0,20.0,Light
70,4200.0,4259.9,20.946508980590163,41.18214054584468,49.595,16,960.0,20.0,Light
71,4260.0,4319.9,21.275239017016403,40.045218216990456,50.373333333333335,18,1080.0,20.0,Light
72,4320.0,4379.9,20.442503185983767,38.02548166657938,48.401666666666664,4,240.0,20.0,Light
73,4380.0,4439.9,23.01180646854431,42.31793361774486,54.485,22,1320.0,20.0,Light
