edge,bin,time_start,time_end,density,flow,v_ms,nVeh
103504792,10,600.0,659.9,0.008184903733517558,0.17590772334524776,21.702083333333334,1.9349112426035502
103504792,11,660.0,719.9,0.009300718935414036,0.19735331279232152,21.225556768558953,2.1986899563318776
103504792,12,720.0,779.9,0.010226764904722074,0.21442002497966112,21.370970278404815,2.4176072234762978
103504792,13,780.0,839.9,0.006389907014073133,0.14817925989541003,23.207744209466263,1.5105740181268883
103504792,14,840.0,896.7,0.010249528366104597,0.21718108796701485,21.532413409961688,2.4229885057471265
103504792,15,914.1,959.9,0.009501638594900266,0.20203174708499685,21.545697167755993,2.2461873638344225
103504792,16,960.0,1019.9,0.008095976687347246,0.17451212633953755,21.62632175925926,1.913888888888889
103504792,17,1020.0,1076.6,0.009001492199261895,0.1864328943336398,20.862345800524935,2.127952755905512
103504792,18,1094.0,1139.9,0.009446342928974562,0.20157509704389373,21.66800653594771,2.233115468409586
103504792,19,1140.0,1199.9,0.00679462774957699,0.14867927770727582,22.502497395833334,1.60625
103504792,20,1200.0,1250.7,0.010970512513159404,0.21861486639079697,20.335442162902122,2.593429158110883
103504792,21,1275.8,1319.9,0.009961879860710348,0.21740472909575578,22.20387703016241,2.354988399071926
103504792,22,1320.0,1379.9,0.006931936029692704,0.1554534414060368,22.51329193548387,1.6387096774193548
103504792,23,1380.0,1431.0,0.009900808718707117,0.2047560520670957,20.78922211286089,2.340551181102362
103504792,24,1456.7,1499.9,0.010877447425670778,0.2296470872613005,21.49772911787666,2.5714285714285716
103504792,25,1500.0,1559.9,0.007669560542087703,0.1696614851010221,22.503106957424716,1.8130841121495327
103504792,26,1560.0,1613.0,0.009685450896642021,0.2052064440891026,21.179644467935166,2.2896405919661733
103504792,27,1635.4,1679.9,0.010227615140347219,0.2139266509051295,21.32504680365297,2.4178082191780823
103504792,28,1680.0,1739.9,0.007169692276807481,0.1482914623304368,20.908086158192088,1.694915254237288
103504792,29,1740.0,1788.4,0.009947948034070378,0.2056023975450974,20.995676553672318,2.3516949152542375
103504792,30,1814.1,1859.9,0.009721510734410656,0.2203971266241327,22.76299885321101,2.2981651376146788
103504792,31,1860.0,1919.9,0.008154728332393307,0.18115341229554432,22.064937500000003,1.9277777777777778
103504792,32,1920.0,1969.9,0.009589967314265525,0.19866258604638523,20.916227242302547,2.2670682730923697
103504792,33,1996.2,2039.9,0.009727323056289816,0.20542332374246575,21.51113632872504,2.2995391705069124
103504792,34,2040.0,2099.9,0.007416732867459282,0.15386915581646898,21.056741821396994,1.753315649867374
103504792,35,2100.0,2154.1,0.010231891659018114,0.20134029195621908,19.649471094710947,2.418819188191882
103504792,36,2174.2,2219.9,0.008821957228579124,0.188192141826527,22.308170625494853,2.0855106888361044
103504792,37,2220.0,2279.9,0.008993079569724099,0.1801061553116804,20.36130676949443,2.125964010282776
103504792,38,2280.0,2336.0,0.010621004657285613,0.2165936160947281,20.68065127701375,2.5108055009823183
103504792,39,2354.3,2399.9,0.00985668562575174,0.20390251360773046,21.17314859437751,2.330120481927711
103504792,40,2400.0,2459.9,0.00854532547600988,0.17605400451212636,21.250380747126435,2.0201149425287355
103504792,41,2460.0,2511.8,0.011201353637901864,0.21538307952622676,19.443313666666665,2.648
103504792,42,2536.7,2579.9,0.010277331645193689,0.22448261646014314,22.010516936104697,2.4295612009237875
103504792,43,2580.0,2639.9,0.007675145652000695,0.16569631733622062,21.819168975069253,1.814404432132964
103504792,44,2640.0,2691.9,0.010383809265177945,0.21137666854671933,20.78656001371742,2.454732510288066
103504792,45,2714.6,2759.9,0.010040281127871583,0.21653736304616533,22.157559101654844,2.3735224586288415
103504792,46,2760.0,2819.9,0.007224089673974679,0.1542961218999923,21.98710232350313,1.707774798927614
103504792,47,2820.0,2873.1,0.009894311131620778,0.20287880390196383,20.511568813131312,2.3390151515151514
103504792,48,2895.3,2939.9,0.009876613623833155,0.212171429114622,21.70017790262172,2.3348314606741574
103504792,49,2940.0,2999.9,0.007847392871876739,0.16202504588856406,20.808987043580686,1.8551236749116609
103504792,50,3000.0,3052.9,0.010554919815211474,0.21176502710862036,20.126893384714194,2.495183044315992
103504792,51,3076.3,3119.9,0.010590367789205463,0.22106257360004183,21.449239904988122,2.503562945368171
103504792,52,3120.0,3179.9,0.008262132166146935,0.1772882260538006,21.728436639118456,1.953168044077135
103504792,53,3180.0,3234.6,0.009745631993717925,0.18926531489843043,19.580369858809085,2.303867403314917
103504792,54,3254.0,3299.9,0.009314395418456333,0.2029354581543668,22.126404246794873,2.201923076923077
103504792,55,3300.0,3359.9,0.007994310797224062,0.16660487015375564,20.877485507246377,1.8898550724637682
103504792,56,3360.0,3413.3,0.010529407249438488,0.20665897402523722,19.666254109138723,2.489151873767258
103504792,57,3439.9,3479.9,0.007795820377211401,0.16922223403407133,21.777940663176267,1.8429319371727748
103504792,58,3480.0,3539.9,0.007663802508317481,0.1660470256932736,21.547172883362936,1.8117229129662522
103504792,59,3540.0,3591.9,0.009526093502271609,0.20096859719946178,21.25592683727034,2.251968503937008
103504792,60,3616.8,3659.9,0.009928037021181172,0.2146389619391271,21.70825903614458,2.346987951807229
103504792,61,3660.0,3719.9,0.007067393008955471,0.1545253239651686,22.063739837398373,1.670731707317073
103504792,62,3720.0,3772.1,0.00961906243719652,0.19853266753538068,20.877482120051084,2.2739463601532566
103504792,63,3794.4,3839.9,0.009191831650665377,0.1997630758494941,21.90669660014782,2.172949002217295
103504792,64,3840.0,3899.9,0.0076415042847006185,0.1638968694642512,21.884401270772237,1.8064516129032258
